Date,STRIKE,BID,ASK,VOLUME,OI,IV,TV
2023-01-27,12.5,0.19,0.2,11153,11617,0.36,0.19
2023-01-27,12.0,0.47,0.51,2058,4985,0.39,0.06
2023-01-27,13.0,0.05,0.06,4909,12255,0.36,0.05
2023-02-03,12.5,0.4,0.46,2741,3703,0.52,0.4
2023-02-03,12.0,0.69,0.74,998,4461,0.51,0.28
2023-02-03,13.0,0.24,0.27,1752,7118,0.5,0.24
2023-02-10,12.5,0.47,0.5,606,3413,0.46,0.47
2023-02-10,12.0,0.74,0.79,1336,2907,0.49,0.33
2023-02-10,13.0,0.29,0.3,800,4683,0.45,0.29
2023-02-17,12.0,0.79,0.81,2036,11541,0.44,0.38
2023-02-17,13.0,0.32,0.34,2671,22454,0.42,0.32
2023-02-17,14.0,0.11,0.12,790,15571,0.42,0.11
2023-02-24,12.5,0.54,0.56,106,1112,0.4,0.54
2023-02-24,12.0,0.76,0.86,65,546,0.42,0.35
2023-02-24,13.0,0.34,0.36,163,1174,0.39,0.34
2023-03-03,12.5,0.58,0.62,40,510,0.4,0.58
2023-03-03,12.0,0.83,0.91,25,84,0.42,0.42
2023-03-03,13.0,0.38,0.4,81,350,0.38,0.38
2023-03-17,12.0,0.95,0.99,293,27669,0.41,0.54
2023-03-17,13.0,0.49,0.5,1149,47954,0.38,0.49
2023-03-17,14.0,0.23,0.25,1513,29735,0.39,0.23
2023-06-16,12.0,1.37,1.42,533,16096,0.39,0.96
2023-06-16,13.0,0.91,0.95,1893,16177,0.38,0.91
2023-06-16,14.0,0.58,0.62,1551,13836,0.38,0.58
2023-09-15,12.0,1.66,1.73,10,3250,0.39,1.25
2023-09-15,13.0,1.21,1.3,465,3953,0.39,1.21
2023-09-15,11.0,2.25,2.31,4,1424,0.4,0.84
2024-01-19,12.0,2.01,2.17,255,32318,0.41,1.6
2024-01-19,15.0,0.92,0.95,641,72277,0.37,0.92
2024-01-19,10.0,3.15,3.3,115,15630,0.42,0.74
2024-06-21,12.0,2.27,2.45,18,5578,0.39,1.86
2024-06-21,15.0,1.2,1.31,720,8095,0.37,1.2
2024-06-21,10.0,3.3,3.5,93,3087,0.4,0.89
2025-01-17,13.0,2.28,2.47,79,10241,0.39,2.28
2025-01-17,15.0,1.61,1.72,99,8881,0.37,1.61
2025-01-17,10.0,3.65,3.8,25,3686,0.39,1.24
2025-06-20,12.0,2.83,3.1,20,366,0.39,2.42
2025-06-20,15.0,1.9,2.0,5035,439,0.37,1.9
2025-06-20,17.0,1.4,1.53,8,478,0.37,1.4
