Date,Open,High,Low,Close,Volume
2023-08-11,442.41,445.13,441.79,444.08,68664600
2023-08-14,443.14,446.53,442.82,446.53,47867400
2023-08-15,444.7,445.07,440.75,441.33,75707500
2023-08-16,440.9,442.62,437.99,438.09,80107200
2023-08-17,439.61,439.88,434.22,434.76,95711300
2023-08-18,431.85,436.03,431.49,434.97,98758400
2023-08-21,436.01,438.56,433.79,437.8,68719000
2023-08-22,439.63,439.63,436.03,436.61,65062900
2023-08-23,437.71,442.11,437.56,441.47,68441000
2023-08-24,443.13,443.66,435.32,435.35,88517300
2023-08-25,437.14,439.75,433.47,438.42,102325100
2023-08-28,440.69,441.84,438.42,441.2,61595400
2023-08-29,441.09,447.87,440.9,447.58,83081900
2023-08-30,447.93,450.08,447.2,449.42,69053900
2023-08-31,450.06,451.24,448.58,448.77,66084600
2023-09-01,451.58,452.08,448.1,449.6,58875700
2023-09-05,449.15,449.47,447.59,447.66,55166200
2023-09-06,446.82,446.93,442.25,444.65,70758500
2023-09-07,441.55,443.98,441.19,443.29,70355400
2023-09-08,443.34,445.54,442.97,443.95,61659700
2023-09-11,446.66,447.19,444.9,446.87,60180100
2023-09-12,445.38,446.95,443.82,444.42,67565400
2023-09-13,444.65,446.14,443.52,444.94,60199300
2023-09-14,447.49,449.49,446.15,448.78,83430800
2023-09-15,447.14,447.48,442.92,443.37,111761400
2023-09-18,443.05,444.97,442.56,443.63,55752200
2023-09-19,442.68,443.29,439.94,442.71,66514600
2023-09-20,444.01,444.44,438.43,438.64,82562600
2023-09-21,435.7,435.97,431.23,431.39,103976100
2023-09-22,432.45,434.1,429.99,430.42,100829700
2023-09-25,429.17,432.27,428.72,432.23,70874500
2023-09-26,429.09,429.82,425.02,425.88,96168400
2023-09-27,427.09,427.67,422.29,426.05,104705800
2023-09-28,425.48,430.25,424.87,428.52,92258300
2023-09-29,431.67,431.85,425.91,427.48,115078500
2023-10-02,426.62,428.6,424.46,427.31,83798600
2023-10-03,425.06,427.37,420.18,421.59,103760600
2023-10-04,422.07,425.43,420.56,424.66,87453000
2023-10-05,424.36,425.37,421.17,424.5,70142700
2023-10-06,421.97,431.13,420.6,429.54,113202700
2023-10-09,427.58,432.88,427.01,432.29,80374400
2023-10-10,432.94,437.22,432.53,434.54,78607300
2023-10-11,435.64,436.58,433.18,436.32,62451700
2023-10-12,436.95,437.34,431.23,433.66,81154200
2023-10-13,435.21,436.45,429.88,431.5,95143100
2023-10-16,433.82,437.14,433.57,436.04,75433200
2023-10-17,432.81,438.14,432.45,436.02,75324700
2023-10-18,434.19,435.18,429.09,430.21,93559800
2023-10-19,430.95,432.82,425.73,426.43,121323000
2023-10-20,425.98,426.54,421.08,421.19,123845800
2023-10-23,419.61,424.45,417.8,420.46,92035100
2023-10-24,422.65,424.82,420.74,423.63,78564200
2023-10-25,421.89,421.92,417.02,417.55,94223200
2023-10-26,416.45,417.33,411.6,412.55,115156800
2023-10-27,414.19,414.6,409.21,410.68,107367700
2023-10-30,413.56,416.68,412.22,415.59,86562700
2023-10-31,416.18,418.53,414.21,418.2,79665200
2023-11-01,419.2,423.5,418.65,422.66,98068100
2023-11-02,426.58,430.92,426.56,430.76,94938900
2023-11-03,433.14,436.29,433.01,434.69,100110800
