Datetime,Open,High,Low,Close,Volume
2023-08-14 02:15:00,15.88,15.89,15.82,15.82,0
2023-08-14 02:20:00,15.81,15.81,15.72,15.72,0
2023-08-14 02:25:00,15.72,15.77,15.71,15.77,0
2023-08-14 02:30:00,15.77,15.77,15.72,15.72,0
2023-08-14 02:35:00,15.72,15.74,15.71,15.74,0
2023-08-14 02:40:00,15.74,15.81,15.72,15.81,0
2023-08-14 02:45:00,15.81,15.82,15.78,15.78,0
2023-08-14 02:50:00,15.78,15.78,15.56,15.56,0
2023-08-14 02:55:00,15.56,15.56,15.25,15.3,0
2023-08-14 03:00:00,15.34,15.4,15.3,15.4,0
2023-08-14 03:05:00,15.4,15.4,15.32,15.32,0
2023-08-14 03:10:00,15.3,15.51,15.29,15.49,0
2023-08-14 03:15:00,15.49,15.54,15.46,15.53,0
2023-08-14 03:20:00,15.53,15.53,15.43,15.52,0
2023-08-14 03:25:00,15.52,15.53,15.47,15.51,0
2023-08-14 03:30:00,15.52,15.59,15.52,15.57,0
2023-08-14 03:35:00,15.57,15.57,15.5,15.5,0
2023-08-14 03:40:00,15.49,15.54,15.49,15.52,0
2023-08-14 03:45:00,15.52,15.52,15.48,15.52,0
2023-08-14 03:50:00,15.52,15.54,15.49,15.5,0
2023-08-14 03:55:00,15.5,15.56,15.5,15.55,0
2023-08-14 04:00:00,15.55,15.59,15.55,15.56,0
2023-08-14 04:05:00,15.56,15.57,15.53,15.56,0
2023-08-14 04:10:00,15.58,15.61,15.52,15.52,0
2023-08-14 04:15:00,15.52,15.54,15.48,15.48,0
2023-08-14 04:20:00,15.49,15.49,15.45,15.49,0
2023-08-14 04:25:00,15.49,15.51,15.48,15.48,0
2023-08-14 04:30:00,15.49,15.51,15.48,15.51,0
2023-08-14 04:35:00,15.51,15.53,15.45,15.53,0
2023-08-14 04:40:00,15.53,15.55,15.51,15.53,0
2023-08-14 04:45:00,15.53,15.54,15.51,15.52,0
2023-08-14 04:50:00,15.52,15.55,15.52,15.54,0
2023-08-14 04:55:00,15.54,15.54,15.5,15.5,0
2023-08-14 05:00:00,15.5,15.55,15.49,15.52,0
2023-08-14 05:05:00,15.52,15.52,15.45,15.47,0
2023-08-14 05:10:00,15.47,15.47,15.45,15.47,0
2023-08-14 05:15:00,15.46,15.46,15.44,15.45,0
2023-08-14 05:20:00,15.44,15.48,15.4,15.48,0
2023-08-14 05:25:00,15.49,15.52,15.49,15.51,0
2023-08-14 05:30:00,15.51,15.52,15.48,15.49,0
2023-08-14 05:35:00,15.48,15.49,15.44,15.44,0
2023-08-14 05:40:00,15.45,15.45,15.42,15.42,0
2023-08-14 05:45:00,15.42,15.44,15.39,15.42,0
2023-08-14 05:50:00,15.41,15.42,15.4,15.41,0
2023-08-14 05:55:00,15.41,15.46,15.39,15.46,0
2023-08-14 06:00:00,15.46,15.47,15.46,15.46,0
2023-08-14 06:05:00,15.47,15.48,15.44,15.48,0
2023-08-14 06:10:00,15.48,15.53,15.48,15.51,0
2023-08-14 06:15:00,15.52,15.55,15.52,15.53,0
2023-08-14 06:20:00,15.53,15.54,15.5,15.51,0
2023-08-14 06:25:00,15.51,15.52,15.5,15.5,0
2023-08-14 06:30:00,15.5,15.52,15.48,15.52,0
2023-08-14 06:35:00,15.51,15.58,15.51,15.58,0
2023-08-14 06:40:00,15.57,15.62,15.54,15.61,0
2023-08-14 06:45:00,15.61,15.64,15.61,15.62,0
2023-08-14 06:50:00,15.62,15.64,15.58,15.58,0
2023-08-14 06:55:00,15.58,15.59,15.55,15.55,0
2023-08-14 07:00:00,15.55,15.61,15.55,15.59,0
2023-08-14 07:05:00,15.6,15.63,15.6,15.62,0
2023-08-14 07:10:00,15.62,15.63,15.6,15.62,0
2023-08-14 07:15:00,15.62,15.71,15.62,15.71,0
2023-08-14 07:20:00,15.71,15.79,15.69,15.79,0
2023-08-14 07:25:00,15.79,15.84,15.77,15.83,0
2023-08-14 07:30:00,15.82,15.97,15.82,15.92,0
2023-08-14 07:35:00,15.91,15.92,15.85,15.92,0
2023-08-14 07:40:00,15.92,15.93,15.9,15.93,0
2023-08-14 07:45:00,15.93,16.06,15.92,16.03,0
2023-08-14 07:50:00,15.99,15.99,15.88,15.88,0
2023-08-14 07:55:00,15.9,15.92,15.88,15.89,0
2023-08-14 08:00:00,15.89,15.95,15.89,15.92,0
2023-08-14 08:05:00,15.9,15.97,15.9,15.93,0
2023-08-14 08:10:00,15.91,15.96,15.91,15.92,0
2023-08-14 08:15:00,15.93,15.93,15.93,15.93,0
2023-08-14 08:30:00,15.93,16.02,15.88,15.88,0
2023-08-14 08:35:00,15.87,15.97,15.85,15.89,0
2023-08-14 08:40:00,15.87,15.87,15.75,15.8,0
2023-08-14 08:45:00,15.81,16.02,15.77,16.0,0
2023-08-14 08:50:00,15.97,15.99,15.81,15.86,0
2023-08-14 08:55:00,15.88,15.94,15.83,15.83,0
2023-08-14 09:00:00,15.82,15.87,15.78,15.8,0
2023-08-14 09:05:00,15.74,15.78,15.61,15.61,0
2023-08-14 09:10:00,15.64,15.67,15.52,15.52,0
2023-08-14 09:15:00,15.52,15.56,15.51,15.55,0
2023-08-14 09:20:00,15.53,15.53,15.39,15.39,0
2023-08-14 09:25:00,15.42,15.45,15.34,15.43,0
